,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Hearing Loss Sudden,isPartial,state,symptom
2004-01-01,35,False,CA,Hearing Loss Sudden
2004-02-01,0,False,CA,Hearing Loss Sudden
2004-03-01,0,False,CA,Hearing Loss Sudden
2004-04-01,100,False,CA,Hearing Loss Sudden
2004-05-01,30,False,CA,Hearing Loss Sudden
2004-06-01,31,False,CA,Hearing Loss Sudden
2004-07-01,32,False,CA,Hearing Loss Sudden
2004-08-01,29,False,CA,Hearing Loss Sudden
2004-09-01,29,False,CA,Hearing Loss Sudden
2004-10-01,0,False,CA,Hearing Loss Sudden
2004-11-01,0,False,CA,Hearing Loss Sudden
2004-12-01,0,False,CA,Hearing Loss Sudden
2005-01-01,74,False,CA,Hearing Loss Sudden
2005-02-01,52,False,CA,Hearing Loss Sudden
2005-03-01,22,False,CA,Hearing Loss Sudden
2005-04-01,25,False,CA,Hearing Loss Sudden
2005-05-01,21,False,CA,Hearing Loss Sudden
2005-06-01,21,False,CA,Hearing Loss Sudden
2005-07-01,33,False,CA,Hearing Loss Sudden
2005-08-01,62,False,CA,Hearing Loss Sudden
2005-09-01,0,False,CA,Hearing Loss Sudden
2005-10-01,28,False,CA,Hearing Loss Sudden
2005-11-01,19,False,CA,Hearing Loss Sudden
2005-12-01,0,False,CA,Hearing Loss Sudden
2006-01-01,24,False,CA,Hearing Loss Sudden
2006-02-01,34,False,CA,Hearing Loss Sudden
2006-03-01,29,False,CA,Hearing Loss Sudden
2006-04-01,15,False,CA,Hearing Loss Sudden
2006-05-01,28,False,CA,Hearing Loss Sudden
2006-06-01,15,False,CA,Hearing Loss Sudden
2006-07-01,15,False,CA,Hearing Loss Sudden
2006-08-01,14,False,CA,Hearing Loss Sudden
2006-09-01,28,False,CA,Hearing Loss Sudden
2006-10-01,31,False,CA,Hearing Loss Sudden
2006-11-01,13,False,CA,Hearing Loss Sudden
2006-12-01,19,False,CA,Hearing Loss Sudden
2007-01-01,17,False,CA,Hearing Loss Sudden
2007-02-01,12,False,CA,Hearing Loss Sudden
2007-03-01,21,False,CA,Hearing Loss Sudden
2007-04-01,26,False,CA,Hearing Loss Sudden
2007-05-01,36,False,CA,Hearing Loss Sudden
2007-06-01,19,False,CA,Hearing Loss Sudden
2007-07-01,13,False,CA,Hearing Loss Sudden
2007-08-01,17,False,CA,Hearing Loss Sudden
2007-09-01,13,False,CA,Hearing Loss Sudden
2007-10-01,15,False,CA,Hearing Loss Sudden
2007-11-01,23,False,CA,Hearing Loss Sudden
2007-12-01,20,False,CA,Hearing Loss Sudden
2008-01-01,10,False,CA,Hearing Loss Sudden
2008-02-01,11,False,CA,Hearing Loss Sudden
2008-03-01,10,False,CA,Hearing Loss Sudden
2008-04-01,14,False,CA,Hearing Loss Sudden
2008-05-01,7,False,CA,Hearing Loss Sudden
2008-06-01,18,False,CA,Hearing Loss Sudden
2008-07-01,17,False,CA,Hearing Loss Sudden
2008-08-01,17,False,CA,Hearing Loss Sudden
2008-09-01,13,False,CA,Hearing Loss Sudden
2008-10-01,14,False,CA,Hearing Loss Sudden
2008-11-01,22,False,CA,Hearing Loss Sudden
2008-12-01,16,False,CA,Hearing Loss Sudden
2009-01-01,20,False,CA,Hearing Loss Sudden
2009-02-01,6,False,CA,Hearing Loss Sudden
2009-03-01,19,False,CA,Hearing Loss Sudden
2009-04-01,13,False,CA,Hearing Loss Sudden
2009-05-01,13,False,CA,Hearing Loss Sudden
2009-06-01,8,False,CA,Hearing Loss Sudden
2009-07-01,0,False,CA,Hearing Loss Sudden
2009-08-01,10,False,CA,Hearing Loss Sudden
2009-09-01,14,False,CA,Hearing Loss Sudden
2009-10-01,20,False,CA,Hearing Loss Sudden
2009-11-01,7,False,CA,Hearing Loss Sudden
2009-12-01,12,False,CA,Hearing Loss Sudden
2010-01-01,17,False,CA,Hearing Loss Sudden
2010-02-01,13,False,CA,Hearing Loss Sudden
2010-03-01,10,False,CA,Hearing Loss Sudden
2010-04-01,6,False,CA,Hearing Loss Sudden
2010-05-01,8,False,CA,Hearing Loss Sudden
2010-06-01,23,False,CA,Hearing Loss Sudden
2010-07-01,5,False,CA,Hearing Loss Sudden
2010-08-01,7,False,CA,Hearing Loss Sudden
2010-09-01,12,False,CA,Hearing Loss Sudden
2010-10-01,10,False,CA,Hearing Loss Sudden
2010-11-01,10,False,CA,Hearing Loss Sudden
2010-12-01,7,False,CA,Hearing Loss Sudden
2011-01-01,8,False,CA,Hearing Loss Sudden
2011-02-01,12,False,CA,Hearing Loss Sudden
2011-03-01,11,False,CA,Hearing Loss Sudden
2011-04-01,21,False,CA,Hearing Loss Sudden
2011-05-01,11,False,CA,Hearing Loss Sudden
2011-06-01,17,False,CA,Hearing Loss Sudden
2011-07-01,15,False,CA,Hearing Loss Sudden
